BHK,Total Area,Price,bedroom
2 BHK Apartment in Roadpali,"950 sq.ft.
(88 sq.m.) Super built-up Area","₹ 58 L
₹ 6,105/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-35D Kharghar,"1,850 sq.ft.
(172 sq.m.) Super built-up Area","₹ 1.9 Cr
₹ 10,270/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Vashi,"570-715 sq.ft.
(53-66 sq.m.) Carpet Area",₹ 1.65 - 2.12 Cr,2 BHK
1 BHK Apartment in Panvel,"261 sq.ft.
(24 sq.m.) Carpet Area",₹ 43 L,"1 BHK
1 Bath"
2 BHK Apartment in Sector-16 Sanpada,"499-529 sq.ft.
(46-49 sq.m.) Carpet Area","₹ 1.86 - 2.13 Cr
₹ 38,769/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Airoli,"465 sq.ft.
(43 sq.m.) Carpet Area","₹ 83 L
₹ 17,849/sq.ft.",1 BHK
1 BHK Apartment in Panvel,"262-273 sq.ft.
(24-25 sq.m.) Carpet Area","₹ 47.25 - 48.25 L
₹ 17,819/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Airoli,"638 sq.ft.
(59 sq.m.) Carpet Area","₹ 1.2 Cr
₹ 18,808/sq.ft.",2 BHK
2 BHK Apartment in Panvel,"417-426 sq.ft.
(39-40 sq.m.) Carpet Area","₹ 69.25 - 71.75 L
₹ 16,706/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Taloja,"504 sq.ft.
(47 sq.m.) Carpet Area","₹ 64.51 L
₹ 12,786/sq.ft.",2 BHK
2 BHK Apartment in Taloja,"608-745 sq.ft.
(56-69 sq.m.) Carpet Area",₹ 50.16 - 59.52 L,"2 BHK
2 Baths"
1 BHK Apartment in Taloja,"397-480 sq.ft.
(37-45 sq.m.) Carpet Area",₹ 32.64 - 39.6 L,"1 BHK
1 Bath"
2 BHK Apartment in Sector 20 Kharghar,"981-1,330 sq.ft.
(91-124 sq.m.) Super built-up Area","₹ 95 L - 1.2 Cr
₹ 9,423/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"575-765 sq.ft.
(53-71 sq.m.) Carpet Area","₹ 98.42 L - 1.31 Cr
₹ 17,093/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Jui Nagar,"624 sq.ft.
(58 sq.m.) Carpet Area",₹ 1.25 Cr,2 BHK
1 BHK Apartment in Jui Nagar,"469 sq.ft.
(44 sq.m.) Carpet Area",₹ 90 L,1 BHK
2 BHK Apartment in Ulwe,"367 sq.ft.
(34 sq.m.) Carpet Area",₹ 64 L,"2 BHK
2 Baths"
2 BHK Apartment in Belapur,"345 sq.ft.
(32 sq.m.) Carpet Area",₹ 84.4 L,"2 BHK
2 Baths"
1 BHK Apartment in Ulwe,"266 sq.ft.
(25 sq.m.) Carpet Area",₹ 44 L,"1 BHK
1 Bath"
1 BHK Apartment in Belapur,"288 sq.ft.
(27 sq.m.) Carpet Area",₹ 60.5 L,"1 BHK
1 Bath"
